,Code,Transactions,Category_Edstruments,Major_Category_Edstruments,Title,State
66,442,3283225.68,Rentals,Purchased Property Services,RENTAL OF EQUIPMENT AND VEHICLES,Georgia
67,443,25461.31,Rentals,Purchased Property Services,RENTAL OF COMPUTER EQUIPMENT,Georgia
68,444,10000.0,Rentals,Purchased Property Services,OTHER RENTALS,Georgia
69,490,16000.0,Other Property Services,Purchased Property Services,OTHER PURCHASED PROPERTY SERVICES,Georgia
70,519,2781928.4,Busing/Transportation,Purchased Professional and Technical Services,Student Transportation Purchased from Other Sources,Georgia
71,520,4360317.0,Other Purchased Services,Purchased Professional and Technical Services,INSURANCE (OTHER THAN EMPLOYEE BENEFITS),Georgia
72,530,3014408.9,Other Purchased Services,Purchased Professional and Technical Services,COMMUNICATION,Georgia
73,532,2417266.94,Other Purchased Services,Purchased Professional and Technical Services,Communications – Web-based Subscriptions and Licenses,Georgia
74,563,2248444.14,Tuition,Employee Benefits,TUITION TO PRIVATE SOURCES,Georgia
75,570,20150000.0,Food,Other Financing Uses,Food Service Management,Georgia
76,580,2654462.67,Travel,Purchased Professional and Technical Services,TRAVEL - EMPLOYEES,Georgia
77,585,36000.0,Travel,Purchased Professional and Technical Services,TRAVEL - SCHOOL BOARD MEMBERS,Georgia
78,594,133276459.6,Miscellaneous,Other Financing Uses,Payments to Charter Schools,Georgia
79,595,19568159.93,Other Purchased Services,Purchased Professional and Technical Services,OTHER PURCHASED SERVICES,Georgia
80,596,622460.0,Buildings,Capital,Residential Facilities,Georgia
81,611,305928.98,Supplies - Technology,Supplies,Supplies - Technology Related,Georgia
82,612,8055535.62,Supplies - Technology,Supplies,COMPUTER SOFTWARE,Georgia
83,615,15014881.84,Supplies - Technology,Supplies,EXPENDABLE EQUIPMENT,Georgia
84,616,13271029.21,Supplies - Technology,Supplies,EXPENDABLE COMPUTER EQUIPMENT,Georgia
85,620,19644811.97,Utilities/Energy,Purchased Property Services,ENERGY,Georgia
86,630,2095880.53,Food,Other Financing Uses,PURCHASED FOOD,Georgia
87,635,750000.0,Food,Other Financing Uses,FOOD ACQUISITIONS - USDA,Georgia
88,640,355189.05,Supplies - Technology,Supplies,Digital/Electronic Textbooks,Georgia
89,641,6242831.0,Instructional Curriculum,Supplies,TEXTBOOKS - Printed,Georgia
90,642,3362770.1,Instructional Curriculum,Supplies,BOOKS (OTHER THAN TEXTBOOKS) AND PERIODICALS,Georgia
91,710,8000.0,Land,Capital,LAND ACQUISITION AND DEVELOPMENT,Georgia
92,715,2950165.0,Land,Capital,LAND IMPROVEMENTS,Georgia
93,720,99942184.06,Buildings,Capital,"BUILDING ACQUISITION, CONSTRUCTION, AND IMPROVEMEN",Georgia
94,730,16072419.26,Machinery and Equipment,Capital,PURCHASE OF EQUIPMENT - OTHER THAN BUSES AND COMPU,Georgia
95,732,7016000.0,Busing/Transportation,Purchased Professional and Technical Services,PURCHASE OR LEASE-PURCHASE OF BUSES,Georgia
96,734,901367.0,Machinery and Equipment,Capital,PURCHASE OR LEASE-PURCHASE OF EQUIPMENT - TECHNOLOGY RELATED,Georgia
97,810,3656468.71,Miscellaneous,Other Financing Uses,DUES AND FEES,Georgia
98,830,4436342.0,Miscellaneous,Other Financing Uses,INTEREST,Georgia
99,831,1520349.2,Miscellaneous,Other Financing Uses,Redemption of Principal,Georgia
100,880,2814457.21,Miscellaneous,Other Financing Uses,FEDERAL INDIRECT COST CHARGES,Georgia
101,881,42910086.16,Miscellaneous,Other Financing Uses,Schoolwide Schools,Georgia
102,882,3109447.91,Miscellaneous,Other Financing Uses,Federal Administrative Consolidation Program,Georgia
103,890,3051903.2,Miscellaneous,Other Financing Uses,OTHER EXPENDITURES,Georgia
104,930,255668592.51,Miscellaneous,Other Financing Uses,OPERATING TRANSFERS TO OTHER FUNDS,Georgia
105,XXXX,29370254.11,Miscellaneous,Other Financing Uses,*Unable to assign to mapping tool*,Georgia
