,Object_code,Function_code,Title,Category_State,Category_Edstruments,Major_Category_Edstruments,State
69,117,,Director/Asst. Director,Salaries,Administrative Salaries,Salaries,Alabama
70,118,,Board Member,Salaries,Administrative Salaries,Salaries,Alabama
71,119,,Other Administrative,Salaries,Administrative Salaries,Salaries,Alabama
72,121,,Registered Nurse,Salaries,Support Staff Salaries,Salaries,Alabama
73,122,,Social Worker,Salaries,Support Staff Salaries,Salaries,Alabama
74,123,,Accountant/Auditor,Salaries,Other Salaries,Salaries,Alabama
75,124,,Buyer/Purchasing Agent,Salaries,Other Salaries,Salaries,Alabama
76,125,,Programmer/Analyst,Salaries,Other Salaries,Salaries,Alabama
77,126,,Administrative Asst,Salaries,Administrative Salaries,Salaries,Alabama
78,127,,Psychometrist,Salaries,Support Staff Salaries,Salaries,Alabama
79,128,,Therapist,Salaries,Support Staff Salaries,Salaries,Alabama
80,129,,Other Professional,Salaries,Other Salaries,Salaries,Alabama
81,131,,Practical Nurse,Salaries,Support Staff Salaries,Salaries,Alabama
82,132,,Computer Operator,Salaries,Other Salaries,Salaries,Alabama
83,133,,Bookkeeper,Salaries,Support Staff Salaries,Salaries,Alabama
84,134,,Teacher (Non-Regular Day School Programs),Salaries,Teachers Salaries,Salaries,Alabama
85,135,,Interpreter/Transliterator,Salaries,Support Staff Salaries,Salaries,Alabama
86,139,,Other Technical,Salaries,Other Salaries,Salaries,Alabama
87,141,,Secretary,Salaries,Support Staff Salaries,Salaries,Alabama
88,142,,Receptionist,Salaries,Support Staff Salaries,Salaries,Alabama
89,143,,Clerk,Salaries,Support Staff Salaries,Salaries,Alabama
90,144,,Clerk Typist,Salaries,Support Staff Salaries,Salaries,Alabama
91,145,,Data Entry,Salaries,Support Staff Salaries,Salaries,Alabama
92,146,,Cashier,Salaries,Support Staff Salaries,Salaries,Alabama
93,147,,Registrar,Salaries,Support Staff Salaries,Salaries,Alabama
94,149,,Other Clerical,Salaries,Support Staff Salaries,Salaries,Alabama
95,151,,Mechanic – Certified,Salaries,Support Staff Salaries,Salaries,Alabama
96,152,,Electrician,Salaries,Support Staff Salaries,Salaries,Alabama
97,153,,Painter,Salaries,Support Staff Salaries,Salaries,Alabama
98,154,,Carpenter,Salaries,Support Staff Salaries,Salaries,Alabama
99,155,,Construction,Salaries,Buildings,Capital,Alabama
100,156,,Plumber,Salaries,Support Staff Salaries,Salaries,Alabama
101,157,,Equipment Repair,Salaries,Support Staff Salaries,Salaries,Alabama
102,158,,Mechanic - Not Certified,Salaries,Support Staff Salaries,Salaries,Alabama
103,159,,Other Crafts & Trade,Salaries,Support Staff Salaries,Salaries,Alabama
104,161,,Bus Driver,Salaries,Support Staff Salaries,Salaries,Alabama
105,162,,Truck Driver,Salaries,Support Staff Salaries,Salaries,Alabama
106,163,,Equipment Operator,Salaries,Support Staff Salaries,Salaries,Alabama
107,164,,Delivery/Courier,Salaries,Support Staff Salaries,Salaries,Alabama
108,167,,Bus Driver - Retired,Salaries,Support Staff Salaries,Salaries,Alabama
109,168,,Other Support - Retired,Salaries,Support Staff Salaries,Salaries,Alabama
110,169,,Other Operative,Salaries,Support Staff Salaries,Salaries,Alabama
111,171,,Custodial,Salaries,Maintenance Costs,Purchased Property Services,Alabama
112,172,,Cook/Baker,Salaries,Support Staff Salaries,Salaries,Alabama
113,173,,Laborer,Salaries,Support Staff Salaries,Salaries,Alabama
114,174,,Warehouse,Salaries,Support Staff Salaries,Salaries,Alabama
115,175,,Groundskeeper,Salaries,Support Staff Salaries,Salaries,Alabama
116,176,,Helper,Salaries,Support Staff Salaries,Salaries,Alabama
117,177,,Worker,Salaries,Support Staff Salaries,Salaries,Alabama
118,178,,Security Guard,Salaries,Support Staff Salaries,Salaries,Alabama
119,179,,Other Service,Salaries,Other Purchased Services,Purchased Professional and Technical Services,Alabama
120,180,,Substitutes,Salaries,Teachers Salaries,Salaries,Alabama
121,191,,Supplements,Salaries,Other Salaries,Salaries,Alabama
122,192,,Stipends,Salaries,Other Salaries,Salaries,Alabama
123,193,,Expense Allowance,Salaries,Other Salaries,Salaries,Alabama
124,194,,Overtime,Salaries,Other Salaries,Salaries,Alabama
125,195,,Compensation for Unused Leave,Salaries,Other Salaries,Salaries,Alabama
126,196,,Teacher Incentives,Salaries,Other Salaries,Salaries,Alabama
127,197,,Head Athletic Coach,Salaries,Other Salaries,Salaries,Alabama
128,198,,Assistant Athletic Coach,Salaries,Other Salaries,Salaries,Alabama
129,199,,Other Compensation,Salaries,Other Salaries,Salaries,Alabama
130,210,,State Insurance,Employee Benefits,Health Insurance/Health Related Benefits,Employee Benefits,Alabama
131,219,,Other Health Insurance ,Employee Benefits,Health Insurance/Health Related Benefits,Employee Benefits,Alabama
132,220,,State Retirement,Employee Benefits,Retirement Contributions,Employee Benefits,Alabama
133,229,,Other Retirement,Employee Benefits,Retirement Contributions,Employee Benefits,Alabama
134,230,,Social Security,Employee Benefits,Retirement Contributions,Employee Benefits,Alabama
135,240,,Federal Medicare,Employee Benefits,Health Insurance/Health Related Benefits,Employee Benefits,Alabama
136,250,,State Unemployment Compensation Insurance,Employee Benefits,Unemployment Benefits,Employee Benefits,Alabama
137,260,,Workers Compensation Insurance,Employee Benefits,Workers Compensation,Employee Benefits,Alabama
138,270,,Life Insurance,Employee Benefits,Health Insurance/Health Related Benefits,Employee Benefits,Alabama
139,280,,Tuition Reimbursement,Employee Benefits,Tuition,Employee Benefits,Alabama
140,290,,Other Employee Benefits,Employee Benefits,Other Employee Benefits,Employee Benefits,Alabama
141,310,,Professional Educational Services ,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
142,311,,Student Educational Services,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
143,312,,Staff Educational Services,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
144,319,,Other Professional Educational Services,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
145,320,,Other Professional Services,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
146,321,,Administrative/Agent Charges,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
147,322,,Accounting,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
148,323,,Auditing,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
149,324,,Architect,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
150,325,,Legal Fees,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
151,326,,Medical/Health Services,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
152,328,,Drug Testing Services,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
153,329,,Other Professional Services,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
154,330,,Technical Services,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
155,331,,Data Processing Services,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
156,332,,Clerical Services,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
157,333,,Software Maintenance Agreements,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
158,334,,Appraisal Services,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
159,335,,Substitutes,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
160,339,,Other Technical Services,Purchased Services,Purchased Professional Services,Purchased Professional and Technical Services,Alabama
161,341,,Equipment/Vehicle Repair and Maintenance,Purchased Services,Maintenance Costs,Purchased Property Services,Alabama
162,342,,Equipment Maintenance Agreements,Purchased Services,Maintenance Costs,Purchased Property Services,Alabama
163,343,,Land and Building Repair/Maintenance,Purchased Services,Maintenance Costs,Purchased Property Services,Alabama
164,344,,Leases,Purchased Services,Rentals,Purchased Property Services,Alabama
165,345,,Rental-Equipment,Purchased Services,Rentals,Purchased Property Services,Alabama
166,346,,Rental-Land and Building,Purchased Services,Rentals,Purchased Property Services,Alabama
167,347,,Custodial Services,Purchased Services,Maintenance Costs,Purchased Property Services,Alabama
168,348,,Garbage and Waste,Purchased Services,Other Property Services,Purchased Property Services,Alabama
169,349,,Other Property Services,Purchased Services,Other Property Services,Purchased Property Services,Alabama
170,350,,Tuition,Purchased Services,Tuition,Employee Benefits,Alabama
171,351,,Alabama Public School Systems,Purchased Services,Tuition,Employee Benefits,Alabama
172,352,,Other School Systems,Purchased Services,Tuition,Employee Benefits,Alabama
173,353,,Private Agencies,Purchased Services,Tuition,Employee Benefits,Alabama
174,354,,Public Colleges,Purchased Services,Tuition,Employee Benefits,Alabama
175,359,,Other Tuition,Purchased Services,Tuition,Employee Benefits,Alabama
176,360,,Communication,Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Alabama
177,361,,Telephone,Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Alabama
178,362,,Telecommunication,Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Alabama
179,363,,Advertising,Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Alabama
180,364,,Postage,Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Alabama
181,369,,Other Communication Services,Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Alabama
182,370,,Utilities,Purchased Services,Utilities/Energy,Purchased Property Services,Alabama
183,371,,Electricity,Purchased Services,Utilities/Energy,Purchased Property Services,Alabama
184,372,,Water and Sewage,Purchased Services,Utilities/Energy,Purchased Property Services,Alabama
185,373,,Natural Gas,Purchased Services,Utilities/Energy,Purchased Property Services,Alabama
186,374,,Propane Gas,Purchased Services,Utilities/Energy,Purchased Property Services,Alabama
187,375,,Fuel Oil,Purchased Services,Utilities/Energy,Purchased Property Services,Alabama
188,376,,Coal,Purchased Services,Utilities/Energy,Purchased Property Services,Alabama
189,379,,Other Utilities,Purchased Services,Utilities/Energy,Purchased Property Services,Alabama
190,380,,Travel & Training,Purchased Services,Travel,Purchased Professional and Technical Services,Alabama
191,381,,Local In-District,Purchased Services,Travel,Purchased Professional and Technical Services,Alabama
192,382,,In-State,Purchased Services,Travel,Purchased Professional and Technical Services,Alabama
193,383,,Out-of-State,Purchased Services,Travel,Purchased Professional and Technical Services,Alabama
194,389,,Other Travel and Training,Purchased Services,Travel,Purchased Professional and Technical Services,Alabama
195,390,,Other Purchased Services,Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Alabama
196,391,,Transportation-Alabama Public School Systems,Purchased Services,Busing/Transportation,Purchased Professional and Technical Services,Alabama
197,392,,Transportation-Other Providers,Purchased Services,Busing/Transportation,Purchased Professional and Technical Services,Alabama
198,393,,Food Services,Purchased Services,Food,Other Financing Uses,Alabama
199,394,,Printing and Binding,Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Alabama
200,395,,Insurance Services,Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Alabama
201,396,,Freight and Shipping,Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Alabama
202,397,,Athletic Officials,Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Alabama
203,399,,Other Purchased Services,Purchased Services,Other Purchased Services,Purchased Professional and Technical Services,Alabama
204,410,,Instructional Supplies,Materials and Supplies,Instructional Curriculum,Supplies,Alabama
205,411,,Student Classroom Supplies,Materials and Supplies,Instructional Curriculum,Supplies,Alabama
206,412,,Staff Training Supplies,Materials and Supplies,Instructional Curriculum,Supplies,Alabama
207,413,,Parent Instruction Supplies,Materials and Supplies,Instructional Curriculum,Supplies,Alabama
208,414,,Instructional Software,Materials and Supplies,Instructional Curriculum,Supplies,Alabama
209,415,,Athletic & Physical Education Supplies,Materials and Supplies,Instructional Curriculum,Supplies,Alabama
210,419,,Other Instructional Supplies,Materials and Supplies,Instructional Curriculum,Supplies,Alabama
211,420,,Books & Periodicals,Materials and Supplies,Instructional Curriculum,Supplies,Alabama
212,421,,Textbooks,Materials and Supplies,Instructional Curriculum,Supplies,Alabama
213,422,,Library/Media Books,Materials and Supplies,Instructional Curriculum,Supplies,Alabama
214,423,,Audio/Video Material,Materials and Supplies,Instructional Curriculum,Supplies,Alabama
215,424,,Magazines/Periodicals,Materials and Supplies,Instructional Curriculum,Supplies,Alabama
216,425,,Reference Materials,Materials and Supplies,Instructional Curriculum,Supplies,Alabama
217,429,,Other Books and Periodicals,Materials and Supplies,Instructional Curriculum,Supplies,Alabama
218,440,,Maintenance & Operations Supplies,Materials and Supplies,Other Supplies,Supplies,Alabama
219,441,,Custodial Supplies,Materials and Supplies,Other Supplies,Supplies,Alabama
220,442,,Maintenance Supplies,Materials and Supplies,Other Supplies,Supplies,Alabama
221,449,,Other Maintenance and Operation Supplies,Materials and Supplies,Other Supplies,Supplies,Alabama
222,450,,Vehicle Supplies,Materials and Supplies,Other Supplies,Supplies,Alabama
223,451,,Fuel-Gasoline,Materials and Supplies,Utilities/Energy,Purchased Property Services,Alabama
224,452,,Fuel-Diesel,Materials and Supplies,Other Supplies,Supplies,Alabama
225,453,,Fuel-Other,Materials and Supplies,Other Supplies,Supplies,Alabama
226,454,,Oil and Lubricants,Materials and Supplies,Other Supplies,Supplies,Alabama
227,455,,Tires,Materials and Supplies,Other Supplies,Supplies,Alabama
228,456,,Vehicle Parts,Materials and Supplies,Other Supplies,Supplies,Alabama
229,459,,Other Vehicle Supplies,Materials and Supplies,Other Supplies,Supplies,Alabama
230,461,,Purchased Food,Materials and Supplies,Food,Other Financing Uses,Alabama
231,462,,USDA Commodities,Materials and Supplies,Food,Other Financing Uses,Alabama
232,463,,Food Service Supplies,Materials and Supplies,Food,Other Financing Uses,Alabama
233,464,,Food Processing Supplies,Materials and Supplies,Food,Other Financing Uses,Alabama
234,465,,Food Donation,Materials and Supplies,Food,Other Financing Uses,Alabama
235,466,,Food Loss,Materials and Supplies,Food,Other Financing Uses,Alabama
236,469,,Other Food Supplies,Materials and Supplies,Food,Other Financing Uses,Alabama
237,470,,General Supplies,Materials and Supplies,Other Supplies,Supplies,Alabama
238,471,,Office Supplies,Materials and Supplies,Other Supplies,Supplies,Alabama
239,472,,Data Processing Supplies,Materials and Supplies,Supplies - Technology,Supplies,Alabama
240,478,,Items for Resale,Materials and Supplies,Other Supplies,Supplies,Alabama
241,479,,Other General Supplies,Materials and Supplies,Other Supplies,Supplies,Alabama
242,480,,Other Non-Instructional Supplies,Materials and Supplies,Other Supplies,Supplies,Alabama
243,481,,Testing Supplies,Materials and Supplies,Other Supplies,Supplies,Alabama
244,482,,Non-Instructional Software,Materials and Supplies,Supplies - Technology,Supplies,Alabama
245,489,,Other Non-instructional Supplies,Materials and Supplies,Other Supplies,Supplies,Alabama
246,491,,Instructional Equipment,Materials and Supplies,Machinery and Equipment,Capital,Alabama
247,492,,Furniture and Fixtures,Materials and Supplies,Machinery and Equipment,Capital,Alabama
248,493,,Non-instructional Equipment,Materials and Supplies,Machinery and Equipment,Capital,Alabama
249,494,,Audio/Video,Materials and Supplies,Instructional Curriculum,Supplies,Alabama
250,495,,Computer Hardware,Materials and Supplies,Supplies - Technology,Supplies,Alabama
251,496,,Library/Media,Materials and Supplies,Other Supplies,Supplies,Alabama
252,497,,Laboratory,Materials and Supplies,Other Supplies,Supplies,Alabama
253,498,,Athletics and Physical Education,Materials and Supplies,Other Supplies,Supplies,Alabama
254,499,,Other Equipment,Materials and Supplies,Machinery and Equipment,Capital,Alabama
255,511,,Land,Capital Outlay,Land,Capital,Alabama
256,512,,Land Improvement,Capital Outlay,Land,Capital,Alabama
257,513,,Buildings-Purchased,Capital Outlay,Buildings,Capital,Alabama
258,514,,Buildings-Constructed,Capital Outlay,Buildings,Capital,Alabama
259,515,,Building Improvements,Capital Outlay,Buildings,Capital,Alabama
260,519,,Other Real Property,Capital Outlay,Buildings,Capital,Alabama
261,520,,Machinery-Complex Systems ,Capital Outlay,Machinery and Equipment,Capital,Alabama
262,530,,Vehicles ,Capital Outlay,Machinery and Equipment,Capital,Alabama
263,531,,School Buses,Capital Outlay,Busing/Transportation,Purchased Professional and Technical Services,Alabama
264,532,,Service Vehicles,Capital Outlay,Machinery and Equipment,Capital,Alabama
265,533,,Automobiles,Capital Outlay,Machinery and Equipment,Capital,Alabama
266,539,,Other Vehicles,Capital Outlay,Machinery and Equipment,Capital,Alabama
267,540,,Equipment,Capital Outlay,Machinery and Equipment,Capital,Alabama
268,541,,Furniture and Fixtures - Equipment,Capital Outlay,Machinery and Equipment,Capital,Alabama
269,542,,Audio/Video  - Equipment,Capital Outlay,Machinery and Equipment,Capital,Alabama
270,543,,Laboratory  - Equipment,Capital Outlay,Machinery and Equipment,Capital,Alabama
271,544,,Library/Media  - Equipment,Capital Outlay,Machinery and Equipment,Capital,Alabama
272,545,,Computer Hardware,Capital Outlay,Supplies - Technology,Supplies,Alabama
273,546,,Computer Software,Capital Outlay,Supplies - Technology,Supplies,Alabama
274,547,,Athletic & Physical Education,Capital Outlay,Miscellaneous,Other Financing Uses,Alabama
275,548,,Tractors/Mowers,Capital Outlay,Other Capital,Capital,Alabama
276,549,,Traffic Control Devices,Capital Outlay,Other Capital,Capital,Alabama
277,589,,Other Equipment,Capital Outlay,Machinery and Equipment,Capital,Alabama
278,590,,Other Capital Outlay,Capital Outlay,Other Capital,Capital,Alabama
279,611,,Principal – Short-Term Loans,Other Objects,Miscellaneous,Other Financing Uses,Alabama
280,613,,Interest - Short-Term Loans,Other Objects,Miscellaneous,Other Financing Uses,Alabama
281,619,,Other Interest,Other Objects,Miscellaneous,Other Financing Uses,Alabama
282,620,,Dues & Fees,Other Objects,Miscellaneous,Other Financing Uses,Alabama
283,621,,Association Dues,Other Objects,Miscellaneous,Other Financing Uses,Alabama
284,622,,License Fees,Other Objects,Miscellaneous,Other Financing Uses,Alabama
285,623,,Registration Fees,Other Objects,Miscellaneous,Other Financing Uses,Alabama
286,627,,Doubtful Accounts Expense (Proprietary Fund Types Only) ,Other Objects,Miscellaneous,Other Financing Uses,Alabama
287,628,,Bank Service Charges,Other Objects,Miscellaneous,Other Financing Uses,Alabama
288,629,,Other Dues and Fees,Other Objects,Miscellaneous,Other Financing Uses,Alabama
289,691,,Depreciation Expense (Proprietary Fund Types Only),Other Objects,Other Capital,Capital,Alabama
290,699,,Other Objects,Other Objects,Miscellaneous,Other Financing Uses,Alabama
291,701,,"Buildings - Constructed, Less Than $50,000",Other Objects,Buildings,Capital,Alabama
292,702,,"Buildings - Purchased, Less Than $50,000",Other Objects,Buildings,Capital,Alabama
293,703,,"Exhaustible Land Improvements Costing Less Than $50,000",Other Objects,Land,Capital,Alabama
294,704,,"Building Improvements Costing Less Than $50,000",Other Objects,Buildings,Capital,Alabama
295,910,,Indirect Cost,Other Fund Uses,Miscellaneous,Other Financing Uses,Alabama
296,918,,Local Tax Payment to Charter School,Other Fund Uses,Miscellaneous,Other Financing Uses,Alabama
297,919,,School System Separation Agreement Payments,Other Fund Uses,Miscellaneous,Other Financing Uses,Alabama
298,920,,Operating Transfers Out,Other Fund Uses,Miscellaneous,Other Financing Uses,Alabama
299,922,,Operating Transfers Out - Proprietary Fund Types,Other Fund Uses,Miscellaneous,Other Financing Uses,Alabama
300,923,,Operating Transfers Out - Local School Fund Sources,Other Fund Uses,Miscellaneous,Other Financing Uses,Alabama
301,924,,Federal Funds Flexibility Transfer,Other Fund Uses,Miscellaneous,Other Financing Uses,Alabama
302,931,,Principal,Other Fund Uses,Miscellaneous,Other Financing Uses,Alabama
303,932,,Interest,Other Fund Uses,Miscellaneous,Other Financing Uses,Alabama
304,933,,Discount on Instrument Sold,Other Fund Uses,Miscellaneous,Other Financing Uses,Alabama
305,938,,Payments to escrow agent,Other Fund Uses,Miscellaneous,Other Financing Uses,Alabama
306,939,,Other Debt Service,Other Fund Uses,Debt Service,Other Financing Uses,Alabama
307,951,,Refunds to State,Other Fund Uses,Miscellaneous,Other Financing Uses,Alabama
308,959,,Other Refunds,Other Fund Uses,Miscellaneous,Other Financing Uses,Alabama
309,960,,Claims Against LEA,Other Fund Uses,Miscellaneous,Other Financing Uses,Alabama
310,961,,Fines and Penalties,Other Fund Uses,Miscellaneous,Other Financing Uses,Alabama
311,962,,Judgments,Other Fund Uses,Miscellaneous,Other Financing Uses,Alabama
312,969,,Other Claims,Other Fund Uses,Miscellaneous,Other Financing Uses,Alabama
313,990,,Other Fund Uses,Other Fund Uses,Miscellaneous,Other Financing Uses,Alabama
314,1100,,Certificated Teachers Salaries,Certificated Personnel Salaries,Teachers Salaries,Salaries,California
315,1200,,Certificated Pupil Support Salaries,Certificated Personnel Salaries,Support Staff Salaries,Salaries,California
316,1300,,Certificated Supervisors' and Administrative Salaries,Certificated Personnel Salaries,Administrative Salaries,Salaries,California
317,1900,,Other Certificated Salaries,Certificated Personnel Salaries,Other Salaries,Salaries,California
318,2100,,Classified Instructional Salaries,Classified Personnel Salaries,Teachers Salaries,Salaries,California
319,,1110,Special Education: Separate Classes,Classified Personnel Salaries,Special Education Salaries,Salaries,California
320,,1120,Special Education: Resource Specialist Instruction,Classified Personnel Salaries,Special Education Salaries,Salaries,California
321,,1130,Special Education: Supplemental Aids and Services in Regular Classrooms,Classified Personnel Salaries,Special Education Salaries,Salaries,California
322,,1180,Special Education: Nonpublic Agencies/Schools (NPA/S),Classified Personnel Salaries,Special Education Salaries,Salaries,California
323,,1190,Special Education: Other Specialized Instructional Services,Classified Personnel Salaries,Special Education Salaries,Salaries,California
324,2200,,Classified Support Salaries,Classified Personnel Salaries,Support Staff Salaries,Salaries,California
325,2300,,Classified Supervisors' and Administrative Salaries,Classified Personnel Salaries,Administrative Salaries,Salaries,California
326,2400,,"Clerical, Technical, and Office Staff Salaries",Classified Personnel Salaries,Support Staff Salaries,Salaries,California
327,2900,,Other Classified Salaries,Classified Personnel Salaries,Other Salaries,Salaries,California
328,3101,,"State Teachers’ Retirement System, certificated positions",Employee Benefits,Retirement Contributions,Employee Benefits,California
329,3102,,"State Teachers’ Retirement System, classified positions",Employee Benefits,Retirement Contributions,Employee Benefits,California
330,3201,,"Public Employees’ Retirement System, certificated positions",Employee Benefits,Retirement Contributions,Employee Benefits,California
331,3202,,"Public Employees’ Retirement System, classified positions",Employee Benefits,Retirement Contributions,Employee Benefits,California
